Biểu đồ hoạt động (Activity Diagram) tương đương với?;Lưu đồ thuật toán (Flowchart);Biểu đồ lớp;Biểu đồ tuần tự;Biểu đồ Use Case;A;4
"Nguyên lý ""Open/Closed"" trong SOLID nghĩa là?";Mở rộng được nhưng không sửa đổi mã nguồn cũ;Không được mở rộng;Không được đóng gói;Chỉ được sửa mã cũ;A;4
Biểu đồ gói (Package Diagram) dùng để?;Tổ chức các phần tử UML thành các nhóm logic;Thiết kế UI;Viết code;Kiểm thử;A;4
Điểm giao nhau (Lifeline) trong biểu đồ tuần tự đại diện cho?;Sự hiện diện của đối tượng theo thời gian;Lỗi hệ thống;Kết nối mạng;Dung lượng RAM;A;4
Biểu đồ cộng tác (Communication Diagram) tập trung vào?;Sự tổ chức giữa các đối tượng dựa trên thông điệp;Cấu trúc lớp;Luồng xử lý;Phần cứng;A;4
"Trong thiết kế hệ thống, ""Interface"" (Giao diện) giúp?";Tách rời đặc tả và thực thi;Tăng lỗi;Giảm tính bảo mật;Viết code dài hơn;A;4
"Mẫu thiết kế ""Observer"" thuộc nhóm nào?";Behavioral (Hành vi);Structural (Cấu trúc);Creational (Khởi tạo);Không thuộc nhóm nào;A;4
"Biểu đồ lớp nào thể hiện mối quan hệ ""là một"" (is-a)?";Kế thừa (Generalization);Phụ thuộc (Dependency);Gộp nhóm (Aggregation);Liên kết (Association);A;4
Biểu đồ triển khai thường sử dụng các nút (Nodes) để biểu diễn?;Máy chủ, máy trạm, thiết bị;Đối tượng phần mềm;Các lớp;Tác nhân;A;4
"Nguyên lý ""Single Responsibility"" (SRP) yêu cầu?";Một lớp chỉ làm một nhiệm vụ duy nhất;Một lớp làm mọi việc;Một lớp không được có phương thức;Một lớp chỉ dùng cho 1 user;A;4
Interface Segregation Principle (ISP) yêu cầu?;Chia nhỏ interface để client không phụ thuộc thừa;Gộp chung tất cả vào 1 interface;Không dùng interface;Xóa interface;A;4
Lợi ích của việc dùng UML trong thiết kế hệ thống?;Chuẩn hóa ngôn ngữ giao tiếp kỹ thuật;Giảm số lượng code;Tăng giá phần mềm;Thay thế hoàn toàn kiểm thử;A;4
"Biểu đồ tuần tự sử dụng ""Message"" để?";Mô tả sự tương tác/gọi hàm giữa các đối tượng;Vẽ hình;Lưu trữ;Xóa đối tượng;A;4
Thiết kế hệ thống mức thấp (Low-level design) tập trung vào?;Chi tiết lớp, phương thức và logic cụ thể;Kiến trúc tổng thể;Yêu cầu khách hàng;Ngân sách;A;4
"Mẫu thiết kế ""Strategy"" giúp?";Thay đổi thuật toán linh hoạt tại thời điểm chạy;Cố định thuật toán;Xóa thuật toán;Không dùng thuật toán;A;4
"Biểu đồ trạng thái sử dụng ""Transition"" để?";Thể hiện sự chuyển đổi giữa các trạng thái;Xóa trạng thái;Vẽ hình;Lưu trữ;A;4
"Biểu đồ hoạt động sử dụng ""Swimlane"" (Làn bơi) để?";Phân chia trách nhiệm giữa các tác nhân/bộ phận;Vẽ đẹp hơn;Tính tốc độ;Kiểm tra lỗi;A;4
"Trong thiết kế hệ thống, ""Refactoring"" nhằm?";Cải thiện cấu trúc nội tại không thay đổi hành vi ngoài;Thay đổi tính năng;Sửa lỗi cứng;Tăng giá;A;4
"Mẫu thiết kế ""Decorator"" giúp?";Thêm tính năng động cho đối tượng;Xóa đối tượng;Thay đổi lớp;Tăng lỗi;A;4
Biểu đồ Use Case có thể chứa?;Các Use Case, Tác nhân và quan hệ;Mã nguồn;Thuật toán;Cơ sở dữ liệu;A;4
Biểu đồ lớp có thể hiển thị?;Lớp, Thuộc tính, Phương thức, Quan hệ;Giao diện UI;Luồng mạng;Màu sắc;A;4
"Biểu đồ tuần tự sử dụng ""Fragment"" (Alt, Loop) để?";Mô tả điều kiện và vòng lặp trong tương tác;Vẽ cho đẹp;Xóa tương tác;Tăng lỗi;A;4
"Nguyên lý ""Liskov Substitution"" (LSP) yêu cầu?";Đối tượng lớp con phải thay thế được lớp cha;Không được kế thừa;Không được dùng lớp cha;Chỉ dùng interface;A;4
Trong UML, quan hệ phụ thuộc (Dependency) ký hiệu bằng?;Mũi tên nét đứt;Nét liền;Hình thoi;Hình tròn;A;4
Biểu đồ triển khai thể hiện?;Sự phụ thuộc giữa các thành phần phần cứng;Cấu trúc lớp;Thuật toán;Hành vi;A;4
Design Pattern giúp giải quyết?;Vấn đề thiết kế thường gặp;Lỗi phần cứng;Giá bán;Nhân sự;A;4
"Mẫu thiết kế ""Adapter"" giúp?";Chuyển đổi giao diện lớp này sang lớp khác;Xóa lớp;Viết lại toàn bộ code;Tăng dung lượng;A;4
Biểu đồ hoạt động hỗ trợ thiết kế?;Quy trình nghiệp vụ phức tạp;Cơ sở dữ liệu;Giao diện;Phần cứng;A;4
Biểu đồ lớp hỗ trợ thiết kế?;Cấu trúc dữ liệu và mô hình hóa đối tượng;Giao diện;Tốc độ;Mạng;A;4
"Nguyên lý thiết kế hệ thống ""Don't Repeat Yourself"" (DRY) là?";Tránh lặp lại mã nguồn;Lặp lại mã;Viết code dài;Không quan tâm code;A;4
Thiết kế hệ thống dựa trên thành phần (Component-based) ưu tiên?;Tái sử dụng các module có sẵn;Viết lại từ đầu;Chỉ dùng phần cứng;Chỉ dùng phần mềm;A;4
"Trong thiết kế lớp, ""Abstract Class"" là?";Lớp chứa phương thức trừu tượng, không thể khởi tạo;Lớp bình thường;Lớp không có phương thức;Lớp cuối cùng;A;4
Sự khác biệt giữa Aggregate và Composition là?;Composition mạnh hơn Aggregate;Aggregate mạnh hơn Composition;Không khác nhau;Composition là lớp con;A;4
Biểu đồ UML nào là biểu đồ hành vi?;Biểu đồ tuần tự, hoạt động, trạng thái;Biểu đồ lớp;Biểu đồ thành phần;Biểu đồ gói;A;4
Biểu đồ UML nào là biểu đồ cấu trúc?;Biểu đồ lớp, thành phần, triển khai;Biểu đồ hoạt động;Biểu đồ tuần tự;Biểu đồ trạng thái;A;4
Thiết kế hướng đối tượng tốt cần?;Cohesion cao, Coupling thấp;Cohesion thấp, Coupling cao;Không cần quan tâm;Mã nguồn dài;A;4
Khi thiết kế hệ thống, cần chú ý đến?;Tính mở rộng, bảo trì, hiệu năng;Màu sắc;Tên nhân viên;Số giờ làm việc;A;4
Mục tiêu chính của kiểm thử phần mềm là gì?;Chứng minh phần mềm không có lỗi;Tìm lỗi để nâng cao chất lượng;Viết thêm tính năng;Tối ưu hóa phần cứng;B;5
Kiểm thử hộp đen (Black-box) tập trung vào?;Giao diện và chức năng bên ngoài;Mã nguồn bên trong;Cấu trúc logic;Thiết kế lớp;A;5
Kiểm thử hộp trắng (White-box) tập trung vào?;Cấu trúc logic và mã nguồn bên trong;Giao diện người dùng;Yêu cầu khách hàng;Màu sắc;A;5
Đâu là mức kiểm thử nhỏ nhất?;Kiểm thử đơn vị (Unit Test);Kiểm thử tích hợp;Kiểm thử hệ thống;Kiểm thử chấp nhận;A;5
Kiểm thử tích hợp dùng để kiểm tra?;Sự tương tác giữa các module;Từng hàm nhỏ;Giao diện UI;Độ bảo mật;A;5
Kiểm thử hồi quy (Regression Testing) được thực hiện khi nào?;Sau khi sửa lỗi hoặc thay đổi code;Khi bắt đầu dự án;Khi bàn giao;Khi thiết kế;A;5
UAT (User Acceptance Testing) được thực hiện bởi?;Người dùng cuối/Khách hàng;Lập trình viên;Tester nội bộ;Giám đốc dự án;A;5
Sự khác biệt giữa Verification và Validation là?;Làm đúng sản phẩm và làm đúng yêu cầu người dùng;Không khác biệt;Là quy trình thiết kế;Là quy trình viết code;A;5
Kiểm thử Alpha thường do ai thực hiện?;Đội ngũ nội bộ tại công ty;Khách hàng bên ngoài;Người dùng phổ thông;Đối thủ;A;5
Kiểm thử Beta thường do ai thực hiện?;Người dùng thực tế ở môi trường thật;Lập trình viên;Tester;Giám đốc;A;5
Báo cáo lỗi (Bug Report) cần chứa?;Các bước tái tạo lỗi;Tên nhân viên;Ngày tháng năm;Sở thích cá nhân;A;5
Tầm quan trọng của Test Plan là?;Xác định chiến lược, tài nguyên, phạm vi kiểm thử;Viết cho đẹp;Không quan trọng;Để tốn thời gian;A;5
Kiểm thử phi chức năng tập trung vào?;Hiệu năng, bảo mật, độ tin cậy;Các chức năng chính;Giao diện người dùng;Cấu trúc cơ sở dữ liệu;A;5
Mô hình V-Model bắt đầu kiểm thử từ khi nào?;Ngay từ giai đoạn phân tích;Khi xong code;Khi xong dự án;Không kiểm thử;A;5
Test Case là gì?;Tập hợp các điều kiện để kiểm tra chức năng;Mã nguồn;Giao diện;Tài liệu thiết kế;A;5
Tại sao cần kiểm thử sớm (Early Testing)?;Để phát hiện và sửa lỗi sớm, giảm chi phí;Để tăng lương;Để làm đẹp hồ sơ;Để viết code nhanh;A;5
Mục tiêu của kiểm thử hiệu năng là?;Đo lường thời gian phản hồi, khả năng chịu tải;Kiểm tra logic;Vẽ sơ đồ;Viết tài liệu;A;5
Đâu là một kỹ thuật kiểm thử hộp đen?;Phân vùng tương đương (Equivalence Partitioning);Kiểm thử đường dẫn;Kiểm thử nhánh;Kiểm thử vòng lặp;A;5
Kiểm thử giá trị biên (Boundary Value Analysis) nhằm?;Kiểm tra lỗi tại các giá trị biên của đầu vào;Tăng tốc;Giảm code;Xóa lỗi;A;5
Kiểm thử đường dẫn (Path Testing) thuộc loại?;Hộp trắng;Hộp đen;UAT;Chấp nhận;A;5
Độ phủ (Coverage) trong kiểm thử giúp?;Đo lường mức độ kiểm tra code;Tăng tốc;Giảm dung lượng;Tăng bảo mật;A;5
Mục đích của việc kiểm thử bảo mật là?;Phát hiện lỗ hổng hệ thống;Viết code;Thiết kế UI;Vẽ sơ đồ;A;5
Kiểm thử cấu hình (Configuration Testing) kiểm tra?;Khả năng chạy trên các phần cứng/phần mềm khác nhau;Giao diện;Logic;Tài liệu;A;5
Kiểm thử khả năng sử dụng (Usability Testing) đánh giá?;Sự thuận tiện và dễ dùng cho người dùng;Độ bền;Giá;Mạng;A;5
Kiểm thử phục hồi (Recovery Testing) kiểm tra?;Khả năng hệ thống khôi phục sau lỗi;Tốc độ;Giao diện;Màu sắc;A;5
Kiểm thử tính tương thích (Compatibility Testing) kiểm tra?;Sự hoạt động trên các môi trường/trình duyệt khác nhau;Giá;Tốc độ;Màu sắc;A;5
Kiểm thử cài đặt (Installation Testing) kiểm tra?;Quá trình cài đặt phần mềm;Logic;Tốc độ;Giao diện;A;5
Kiểm thử ngẫu nhiên (Ad-hoc Testing) là?;Kiểm thử không theo kế hoạch/kịch bản;Theo kế hoạch;Theo kịch bản;Theo yêu cầu;A;5
Kiểm thử luồng dữ liệu (Data Flow Testing) là?;Kiểm tra luồng đi của dữ liệu qua hệ thống;Kiểm tra UI;Kiểm tra giá;Kiểm tra mạng;A;5
Quản lý chất lượng (QA) tập trung vào?;Quy trình phát triển;Viết code;Kiểm thử lỗi;Sửa lỗi;A;5
Kiểm soát chất lượng (QC) tập trung vào?;Sản phẩm cuối cùng (phát hiện lỗi);Quy trình;Thiết kế;Họp;A;5
Chỉ số lỗi (Defect Density) giúp?;Đánh giá mật độ lỗi trên mỗi đơn vị;Đếm số người;Đếm máy;Đếm giờ;A;5
Công cụ quản lý lỗi (Bug Tracking Tool) ví dụ?;Jira;Notepad;Paint;Excel;A;5
Kiểm thử dựa trên rủi ro (Risk-based testing) ưu tiên?;Các phần quan trọng, rủi ro cao;Các phần dễ;Phần không quan trọng;Phần mới;A;5
Kiểm thử liên tục (Continuous Testing) thường thấy trong?;DevOps/CI/CD;Waterfall;V-Model;Spiral;A;5
Mục đích của Unit Test Automation?;Tự động hóa kiểm thử hàm;Viết code;Họp;Thiết kế;A;5
Kiểm thử hệ thống (System Testing) kiểm tra?;Toàn bộ hệ thống so với yêu cầu;Một hàm;Một module;Một giao diện;A;5
Kiểm thử tích hợp từ trên xuống (Top-down) dùng?;Stub;Driver;Code;Script;A;5
Kiểm thử tích hợp từ dưới lên (Bottom-up) dùng?;Driver;Stub;Code;Script;A;5
Tại sao cần kiểm thử lại (Re-testing)?;Để kiểm tra lỗi đã được sửa;Để tạo lỗi mới;Để chơi;Để viết code;A;5
Đâu là tiêu chí dừng kiểm thử?;Hết thời gian hoặc đạt độ phủ mục tiêu;Đã chán;Hết tiền;Lập trình viên muốn nghỉ;A;5
Kiểm thử sự sẵn sàng (Availability Testing) là?;Đo thời gian hệ thống hoạt động ổn định;Kiểm tra màu;Kiểm tra giá;Kiểm tra mạng;A;5
Kiểm thử căng thẳng (Stress Testing) giúp?;Xác định giới hạn tối đa của hệ thống;Viết code;Thiết kế;Họp;A;5
Kiểm thử tính di động (Portability Testing) kiểm tra?;Khả năng chuyển đổi giữa các môi trường;Giao diện;Logic;Tốc độ;A;5
Mục tiêu của kiểm thử giao diện (UI Testing) là?;Đảm bảo giao diện đúng thiết kế và dễ dùng;Tốc độ;Logic;Cấu trúc DB;A;5
Sai lầm khi kiểm thử là?;Chỉ dùng 1 loại kiểm thử;Kiểm thử toàn diện;Kiểm thử sớm;Phối hợp các loại;A;5
Kiểm thử tĩnh (Static Testing) là?;Kiểm tra code/tài liệu không thực thi;Kiểm tra thực thi;Kiểm tra mạng;Kiểm tra phần cứng;A;5
Kiểm thử động (Dynamic Testing) là?;Kiểm tra code bằng cách thực thi;Kiểm tra tĩnh;Tài liệu;Họp;A;5
Phát hiện lỗi ở giai đoạn nào là rẻ nhất?;Yêu cầu/Thiết kế;Lập trình;Kiểm thử;Bảo trì;A;5
Đội ngũ kiểm thử tốt cần?;Khách quan và chú ý chi tiết;Chỉ cần nhanh;Chỉ cần giỏi code;Không cần làm gì;A;5
Mục tiêu chính của quản trị dự án phần mềm là gì?;Đảm bảo dự án hoàn thành đúng hạn, chất lượng và ngân sách;Chỉ viết code thật nhanh;Chỉ quản lý nhân sự;Chỉ làm tài liệu;A;6
Đâu là một yếu tố quan trọng trong quản trị dự án?;Lập kế hoạch, theo dõi và kiểm soát;Chỉ viết báo cáo;Chỉ chơi game;Chỉ đi họp;A;6
Kỹ thuật WBS (Work Breakdown Structure) dùng để?;Chia nhỏ công việc dự án thành các phần quản lý được;Viết code;Kiểm tra lỗi;Thiết kế UI;A;6
Mô hình ước lượng COCOMO tập trung vào?;Ước tính nỗ lực, thời gian và chi phí phát triển;Số lượng nhân sự;Tốc độ máy;Màu sắc;A;6
Đâu là rủi ro phổ biến trong dự án phần mềm?;Thay đổi yêu cầu liên tục;Thiếu máy tính;Nhân viên quá giỏi;Thời tiết;A;6
Mục đích của việc quản lý cấu hình (Configuration Management) là?;Kiểm soát các thay đổi đối với tài liệu và code;Viết báo cáo;Thay đổi yêu cầu;Tuyển nhân viên;A;6
"Trong quản lý chi phí, ""chi phí trực tiếp"" bao gồm?";Lương lập trình viên, phí thiết bị;Tiền thuê văn phòng;Điện nước;Thuế;A;6
Critical Path (Đường găng) trong sơ đồ tiến độ là?;Chuỗi công việc dài nhất quyết định thời gian dự án;Công việc ngắn nhất;Công việc dễ nhất;Công việc khó nhất;A;6
Bảo trì phần mềm chiếm tỷ trọng như thế nào trong vòng đời dự án?;Thường là giai đoạn tốn kém và dài nhất;Rất ít;Không quan trọng;Chỉ diễn ra 1 ngày;A;6
Đâu là loại bảo trì giúp sửa các lỗi phát sinh?;Bảo trì sửa lỗi (Corrective Maintenance);Bảo trì thích nghi;Bảo trì hoàn thiện;Bảo trì phòng ngừa;A;6
"Bảo trì ""thích nghi"" (Adaptive) nhằm?";Cập nhật phần mềm khi môi trường thay đổi;Sửa lỗi;Thêm tính năng;Xóa code;A;6
"Bảo trì ""hoàn thiện"" (Perfective) nhằm?";Thêm chức năng mới hoặc cải thiện hiệu năng;Sửa lỗi;Xóa code;Sửa giao diện;A;6
"Bảo trì ""phòng ngừa"" (Preventive) nhằm?";Cải thiện cấu trúc để tránh lỗi trong tương lai;Sửa lỗi hiện tại;Thêm tính năng;Xóa code;A;6
Sơ đồ Gantt (Gantt Chart) được dùng để?;Theo dõi tiến độ thời gian của các đầu việc;Viết code;Vẽ biểu đồ UML;Kiểm tra mạng;A;6
Nợ kỹ thuật (Technical Debt) xảy ra khi?;Ưu tiên tốc độ thay vì chất lượng thiết kế;Nhân viên nghỉ;Sếp không đồng ý;Hết tiền;A;6
"Trong quản trị dự án, ""milestone"" là?";Điểm mốc quan trọng kết thúc một giai đoạn;Viết code;Nghỉ ngơi;Họp;A;6
Quản lý nhân sự trong dự án bao gồm?;Tuyển dụng, đào tạo và phân công công việc;Chỉ tuyển;Chỉ đào tạo;Chỉ sa thải;A;6
Tại sao cần quản lý rủi ro?;Để nhận diện và giảm thiểu thiệt hại;Để tăng rủi ro;Để làm đẹp tài liệu;Không cần thiết;A;6
Phương pháp nào hỗ trợ quản lý dự án linh hoạt?;Agile/Scrum;Waterfall;V-Model;Tuyến tính;A;6
"Trong dự án phần mềm, ""ngân sách"" thường bị đội lên do?";Thay đổi phạm vi (Scope Creep);Viết code nhanh;Sử dụng máy tính cũ;Tuyển ít nhân sự;A;6
Tài liệu hướng dẫn (Documentation) trong bảo trì giúp?;Hiểu hệ thống để sửa chữa và nâng cấp;Trang trí;Tốn giấy;Làm khó lập trình viên;A;6
Reverse Engineering (Kỹ thuật đảo ngược) trong bảo trì là?;Phân tích mã nguồn để hiểu cấu trúc hệ thống;Viết code mới;Sửa lỗi;Vẽ biểu đồ;A;6
Refactoring là kỹ thuật bảo trì nhằm?;Cải thiện mã nguồn mà không thay đổi hành vi;Thêm tính năng;Xóa code;Sửa lỗi;A;6
Công cụ quản lý dự án phổ biến?;Jira, Trello;Notepad;Paint;Excel;A;6
Đâu là chỉ số đo lường năng suất phần mềm?;Số dòng code hoặc số chức năng/giờ làm việc;Số người;Số máy;Số phòng;A;6
Tại sao cần dự phòng thời gian (Buffer)?;Để xử lý công việc phát sinh bất ngờ;Để nghỉ ngơi;Để tăng phí;Để làm đẹp;A;6
Quản lý phạm vi (Scope Management) giúp tránh?;Dự án bị lan man, không đúng mục tiêu;Quá tập trung;Làm quá nhanh;Tốn tiền;A;6
Trong dự án, việc giao tiếp kém dẫn đến?;Rủi ro cao, hiểu sai yêu cầu;Dự án nhanh;Thành công;Tăng lương;A;6
Chi phí bảo trì phần mềm phụ thuộc vào?;Độ phức tạp của code và tài liệu;Màu sắc;Tên nhân viên;Số lượng máy;A;6
Vai trò của Project Manager (PM) là?;Điều phối, giám sát và chịu trách nhiệm dự án;Viết code;Kiểm tra lỗi;Thiết kế;A;6
"Ước tính dự án theo phương pháp ""Expert Judgment"" là?";Dựa vào kinh nghiệm chuyên gia;Dựa vào máy;Dựa vào code;Dựa vào báo cáo;A;6
"Phần mềm ""Legacy"" (di sản) thường khó bảo trì vì?";Code cũ, thiếu tài liệu, công nghệ lạc hậu;Mới quá;Đẹp quá;Nhanh quá;A;6
Tại sao cần theo dõi tiến độ (Monitoring)?;Để so sánh với kế hoạch và điều chỉnh;Để làm đẹp báo cáo;Để tốn thời gian;Để họp;A;6
Việc sa thải nhân sự đột ngột trong dự án dẫn đến?;Mất kiến thức và chậm tiến độ;Nhanh hơn;Tiết kiệm;Thành công;A;6
Mô hình COCOMO có bao nhiêu cấp độ?;3 (Basic, Intermediate, Detailed);1;2;10;A;6
Độ tin cậy của ước tính chi phí phụ thuộc vào?;Sự rõ ràng của yêu cầu;Máy tính;Nhân viên;Thời tiết;A;6
Kiểm soát thay đổi (Change Control) giúp?;Quản lý yêu cầu thay đổi có kiểm soát;Không kiểm soát;Xóa mọi thay đổi;Họp;A;6
Phần mềm có chất lượng cần?;Dễ bảo trì, dễ mở rộng, hiệu năng tốt;Code dài;Thiết kế đẹp;Không lỗi;A;6
Chi phí bảo trì phần mềm thường chiếm bao nhiêu % tổng chi phí?;40% - 80%;5%;10%;100%;A;6
Phần mềm bảo trì kém sẽ dẫn đến?;"Hệ thống bị ""chết"" dần";Nhanh hơn;Rẻ hơn;Đẹp hơn;A;6
Tại sao cần họp nhóm dự án (Meeting)?;Để thống nhất mục tiêu và giải quyết vướng mắc;Để chơi;Để tiêu tiền;Để làm khó nhau;A;6
Ước tính theo chức năng (Function Point) dựa trên?;Các đầu vào, đầu ra, truy vấn, file;Số dòng code;Số nhân viên;Số máy;A;6
Mục đích của việc lưu trữ dự án (Archiving)?;Để sử dụng hoặc tham khảo trong tương lai;Để xóa;Để vứt đi;Để tốn bộ nhớ;A;6
Khi nào dự án phần mềm được coi là thất bại?;Không hoàn thành mục tiêu, quá ngân sách, trễ hạn;Sửa lỗi;Thêm tính năng;Đẹp;A;6
Lợi ích của việc đào tạo nhân sự?;Tăng năng suất và chất lượng sản phẩm;Tốn tiền;Tốn thời gian;Giảm chất lượng;A;6
Tại sao cần phản hồi (Feedback) từ người dùng trong bảo trì?;Để biết hướng cải thiện;Không cần;Để sửa lỗi;Để làm đẹp;A;6
Chi phí cho bảo trì tăng khi?;Code phức tạp và tài liệu nghèo nàn;Code dễ;Tài liệu tốt;Nhân viên giỏi;A;6
Quản trị rủi ro dự án bao gồm các bước?;Nhận diện, phân tích, lập kế hoạch ứng phó;Không cần;Viết code;Thiết kế;A;6
Phần mềm hiện đại đòi hỏi bảo trì?;Thường xuyên để đáp ứng thị trường;Không bao giờ;1 lần;Hết đời;A;6
Đội ngũ dự án chuyên nghiệp cần?;Kỹ năng kỹ thuật và kỹ năng mềm tốt;Chỉ kỹ thuật;Chỉ kỹ năng mềm;Không cần gì;A;6
